time(s),current(A),potential(V),frequency(Hz),amplitude(A)
0.537109375,0.271908632185043,0.105570285459997,,
0.53955078125,0.270595260985323,0.105240794522163,,
0.5419921875,0.269155437533454,0.10501136330706,,
0.54443359375,0.267809327325985,0.104598467061065,,
0.546875,0.266109150812499,0.104088708739937,,
0.54931640625,0.264756111714502,0.103899681134579,,
0.5517578125,0.263032550195481,0.103518195114461,,
0.55419921875,0.261429204927134,0.1030266900317,,
0.556640625,0.259533287256211,0.10258847907556,,
0.55908203125,0.257645857476186,0.102164257827658,,
0.5615234375,0.255993317085085,0.101477463079661,,
0.56396484375,0.253931798930526,0.101062701539234,,
0.56640625,0.251969710355054,0.100585052929395,,
0.56884765625,0.250049195122754,0.0999398942178202,,
0.5712890625,0.248012447751835,0.0994254726606125,,
0.57373046875,0.245641208190642,0.098813656087005,,
0.576171875,0.24347246545515,0.0980992483196528,,
0.57861328125,0.241229237146475,0.0975560479340696,,
0.5810546875,0.238733450778028,0.09685003399166,,
0.58349609375,0.236493513692354,0.0960219764992885,,
0.5859375,0.233952516313207,0.0955246090625996,,
0.58837890625,0.231566379637377,0.0946857595095874,,
0.5908203125,0.229006847476065,0.093999597629344,,
0.59326171875,0.226380278298888,0.0931917919050882,,
0.595703125,0.223738292340285,0.0922868909438956,,
0.59814453125,0.220856047102598,0.0914888780154066,,
0.6005859375,0.218173873578928,0.090684936115331,,
0.60302734375,0.215298730454033,0.0898084142765638,,
0.60546875,0.212548653803181,0.088899216476412,,
0.60791015625,0.209554160538929,0.0880462439798455,,
0.6103515625,0.206635538625966,0.0870844182296557,,
0.61279296875,0.20383730618594,0.0861196613025017,,
0.615234375,0.200392608259584,0.0852022029127237,,
0.61767578125,0.19728552052424,0.084195743331489,,
0.6201171875,0.19439288195076,0.0831766597040109,,
0.62255859375,0.190998245258474,0.0821771949768952,,
0.625,0.187818750617104,0.0811948842967856,,
0.62744140625,0.18453618872912,0.0800886314634535,,
0.6298828125,0.181251201729451,0.0789845103951858,,
0.63232421875,0.177822440251311,0.077846547556514,,
0.634765625,0.174418471209594,0.0767016564813816,,
0.63720703125,0.170876573940789,0.075574752173984,,
0.6396484375,0.167383871794739,0.0744165375671964,,
0.64208984375,0.16386626894835,0.0733328015023611,,
0.64453125,0.160122589395679,0.071981662157206,,
0.64697265625,0.156573784889129,0.0707669557762007,,
0.6494140625,0.153042649053427,0.0695430561583525,,
0.65185546875,0.149283725941593,0.0683051668322667,,
0.654296875,0.145499858823855,0.0670599828725997,,
0.65673828125,0.141663505360363,0.065693654701358,,
0.6591796875,0.137902157136844,0.064413762941729,,
0.66162109375,0.134028734109023,0.0630599588902427,,
0.6640625,0.130268598441346,0.0617608812450308,,
0.66650390625,0.12621623681562,0.0603680725546241,,
0.6689453125,0.12239616624487,0.0589793941590302,,
0.67138671875,0.118452241755919,0.0576326515793215,,
0.673828125,0.114430713693047,0.0562292506812487,,
0.67626953125,0.11054531667628,0.0547900427918528,,
0.6787109375,0.106404828224143,0.0533399096064993,,
0.68115234375,0.102345342832842,0.0518624631812528,,
0.68359375,0.098259007990743,0.0504621600042898,,
0.68603515625,0.0941536836580385,0.048978318283849,,
0.6884765625,0.0899654941251669,0.0474964750931561,,
0.69091796875,0.0858497331511035,0.0459438839493744,,
0.693359375,0.0816625829518113,0.0444315298711913,,
0.69580078125,0.0775516938539009,0.0429154452041445,,
0.6982421875,0.0732204443843941,0.041389900829623,,
0.70068359375,0.0689427205942216,0.0397431456258679,,
0.703125,0.0647003124929628,0.0381964834536723,,
0.70556640625,0.0604506940149976,0.0366243067183576,,
0.7080078125,0.0561376112303458,0.0350544282922529,,
0.71044921875,0.0518609267737527,0.0334479101540963,,
0.712890625,0.0475463066415148,0.0317929942872026,,
0.71533203125,0.0432533392921792,0.0301970350478831,,
0.7177734375,0.0389284990464114,0.0285520119032432,,
0.72021484375,0.0345908403531656,0.0269413301614443,,
